,City,Price,Bedroom,Bathroom,Face,Road,Amenities,Unit,New_Area,Road_Width,Number of Amenities
10,Pokhara,32000000,4,5,South West,15 Feet / Blacktopped,"[""'Parking'"", "" 'Backyard'""]",Aana,14.0,15,2
12,Kathmandu,15000000,2,2,South,12 Feet / Gravelled,"[""'Parking'""]",Aana,5.0,12,1
13,Kathmandu,52500000,5,5,South East,20 Feet / Blacktopped,"[""'Parking'"", "" 'Garage'"", "" 'Modular Kitchen'"", "" 'Microwave'"", "" 'Garden'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Solar Water'"", "" 'Water Well'""]",Aana,8.0,20,9
14,Kathmandu,26500000,6,6,East,13 Feet / Paved,"[""'Parking'""]",Aana,4.0,13,1
15,Kathmandu,25500000,6,6,East,13 Feet / Gravelled,"[""'Parking'""]",Aana,4.0,13,1
17,Kathmandu,18500000,4,4,South,13 Feet,"[""'Parking'""]",Aana,6.0,13,1
18,Kathmandu,62000000,7,4,East,0 Feet,[''],Aana,10.0,0,1
22,Kathmandu,145000000,95,40,East,20 Feet / Blacktopped,"[""'Parking'"", "" 'Garage'""]",Aana,21.0,20,2
23,Kathmandu,55000000,5,6,South,20 Feet / Gravelled,"[""'Parking'"", "" 'Garden'""]",Aana,19.0,20,2
25,Kathmandu,37000000,6,6,South East,32 Feet,"[""'Parking'"", "" 'Garage'""]",Aana,6.1,32,2
26,Kathmandu,102500000,6,6,East,13 Feet / Blacktopped,"[""'Parking'"", "" 'Garage'"", "" 'Backyard'"", "" 'Balcony'"", "" 'Air Condition'"", "" 'Frontyard'"", "" 'Fencing'"", "" 'Garden'"", "" 'Modular Kitchen'"", "" 'Water Supply'"", "" 'Drainage'"", "" 'Solar Water'"", "" 'Water Well'""]",Aana,19.0,13,13
28,Kathmandu,58500000,6,6,East,16 Feet / Blacktopped,"[""'Parking'"", "" 'Garage'""]",Aana,6.5,16,2
32,Kathmandu,130000000,5,6,East,15 Feet / Blacktopped,"[""'Parking'"", "" 'Garage'"", "" 'Air Condition'"", "" 'Balcony'"", "" 'Frontyard'"", "" 'Fencing'"", "" 'Garden'"", "" 'Microwave'"", "" 'Modular Kitchen'"", "" 'TV Cable'"", "" 'Washing Machine'"", "" 'Wifi'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Solar Water'"", "" 'Water Well'"", "" 'Water Tank'""]",Aana,10.0,15,17
33,Kathmandu,105000000,8,8,East,15 Feet / Blacktopped,"[""'Parking'"", "" 'Garage'""]",Aana,21.0,15,2
34,Kathmandu,105000000,5,5,South,15 Feet / Gravelled,"[""'Parking'"", "" 'Garage'"", "" 'Balcony'"", "" 'Backyard'"", "" 'Deck'"", "" 'Frontyard'"", "" 'Fencing'"", "" 'Garden'"", "" 'Microwave'"", "" 'Modular Kitchen'"", "" 'Washing Machine'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Solar Water'"", "" 'Water Well'"", "" 'Water Tank'"", "" 'CCTV'"", "" 'Kids Playground'"", "" 'Store Room'""]",Ropani,64.0,15,19
36,Kathmandu,40000000,7,7,East,15 Feet / Blacktopped,"[""'Parking'""]",Aana,7.0,15,1
37,Kathmandu,26500000,6,6,West,14 Feet / Blacktopped,"[""'Parking'""]",Aana,5.0,14,1
39,Kathmandu,22500000,6,6,North East,18 Feet / Blacktopped,"[""'Parking'""]",Aana,3.1,18,1
40,Kathmandu,60000000,6,6,South East,15 Feet / Soil Stabilized,"[""'Parking'""]",Aana,11.0,15,1
41,Kathmandu,250000000,6,5,East,15 Feet,"[""'Parking'"", "" 'Garage'"", "" 'Balcony'"", "" 'Garden'"", "" 'Water Supply'"", "" 'Drainage'"", "" 'Water Tank'"", "" 'Solar Water'""]",Aana,30.0,15,8
42,Kathmandu,40000000,9,6,East,13 Feet / Paved,"[""'Parking'""]",Aana,9.0,13,1
43,Kathmandu,30000000,6,5,East,15 Feet / Blacktopped,"[""'Parking'"", "" 'Garage'"", "" 'Balcony'"", "" 'Modular Kitchen'"", "" 'Water Supply'"", "" 'Drainage'"", "" 'Water Well'"", "" 'Solar Water'"", "" 'Water Tank'""]",Aana,3.5,15,9
44,Kathmandu,65000000,6,6,East,14 Feet / Gravelled,"[""'Parking'"", "" 'Garage'"", "" 'Air Condition'"", "" 'Microwave'"", "" 'Modular Kitchen'"", "" 'Water Supply'"", "" 'Drainage'"", "" 'Water Well'"", "" 'Solar Water'"", "" 'Water Tank'""]",Aana,12.0,14,10
45,Kathmandu,33000000,5,6,North,13 Feet / Blacktopped,"[""'Parking'"", "" 'Garden'""]",Aana,5.0,13,2
46,Kathmandu,30500000,5,5,West,13 Feet / Blacktopped,"[""'Parking'""]",Aana,4.0,13,1
48,Kathmandu,28000000,6,6,South East,13 Feet / Blacktopped,"[""'Parking'""]",Aana,4.0,13,1
49,Kathmandu,41000000,10,5,South East,26 Feet / Blacktopped,"[""'Parking'""]",Aana,4.0,26,1
50,Kathmandu,27000000,6,6,East,14 Feet / Gravelled,"[""'Parking'"", "" 'Garage'""]",Aana,4.5,14,2
51,Kathmandu,22000000,5,5,East,13 Feet / Soil Stabilized,"[""'Parking'""]",Aana,3.1,13,1
52,Kathmandu,37000000,5,5,South East,15 Feet / Blacktopped,"[""'Parking'"", "" 'Garage'"", "" 'Frontyard'"", "" 'Water Supply'"", "" 'Drainage'"", "" 'Solar Water'"", "" 'Water Tank'""]",Aana,8.0,15,7
54,Kathmandu,22500000,5,3,East,13 Feet,"[""'Parking'"", "" 'Balcony'"", "" 'Water Well'"", "" 'Store Room'"", "" 'Frontyard'"", "" 'Garden'"", "" 'Water Supply'"", "" 'Solar Water'"", "" 'TV Cable'""]",Aana,4.0,13,9
55,Bhaktapur,29000000,3,3,North,20 Feet / Blacktopped,"[""'Parking'"", "" 'Garage'"", "" 'Air Condition'"", "" 'Balcony'"", "" 'Deck'"", "" 'Fencing'"", "" 'Frontyard'"", "" 'Microwave'"", "" 'Modular Kitchen'"", "" 'Swimming Pool'"", "" 'TV Cable'"", "" 'Washing Machine'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Solar Water'"", "" 'Water Tank'"", "" 'Internet'""]",Aana,4.5,20,17
58,Kathmandu,37500000,5,5,South East,0 Feet,"[""'Parking'"", "" 'Balcony'"", "" 'Garden'"", "" 'Modular Kitchen'"", "" 'TV Cable'"", "" 'Drainage'"", "" 'Solar Water'"", "" 'Internet'"", "" 'Store Room'"", "" 'Wifi'""]",Aana,5.0,0,10
59,Kathmandu,13000000,2,1,West,0 Feet,"[""'Parking'""]",Aana,3.1,0,1
63,Bhaktapur,32500000,4,4,South,20 Feet / Paved,"[""'Parking'"", "" 'Balcony'"", "" 'Modular Kitchen'"", "" 'TV Cable'"", "" 'Washing Machine'"", "" 'Wifi'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Solar Water'"", "" 'Water Tank'"", "" 'Electricity Backup'"", "" 'Internet'"", "" 'Store Room'""]",Aana,7.0,20,13
67,Chitwan,7700000,4,2,East,16 Feet / Gravelled,"[""'Backyard'"", "" 'Balcony'"", "" 'Fencing'"", "" 'Frontyard'"", "" 'Water Tank'"", "" 'Parking'""]",Aana,6.0,16,6
84,Lalitpur,21000000,0,3,East,12 Feet,"[""'Parking'"", "" 'Balcony'"", "" 'Drainage'"", "" 'Garage'"", "" 'Frontyard'"", "" 'TV Cable'"", "" 'Wifi'"", "" 'Modular Kitchen'"", "" 'Water Well'"", "" 'Water Tank'"", "" 'Internet'""]",Aana,0.4,12,11
96,Kathmandu,45000000,4,4,South West,22 Feet,"[""'Garage'"", "" 'Balcony'"", "" 'Garden'"", "" 'Water Supply'"", "" 'TV Cable'"", "" 'Lawn'"", "" 'Frontyard'"", "" 'Modular Kitchen'"", "" 'Backyard'"", "" 'Deck'"", "" 'Drainage'"", "" 'Wifi'"", "" 'Fencing'""]",Aana,11.0,22,13
101,Kathmandu,3000000,0,0,West,16 Feet / Paved,[''],Aana,12.0,16,1
103,Kathmandu,2350000,0,0,South,13 Feet / Blacktopped,[''],Aana,5.0,13,1
106,Kathmandu,200000,0,0,North West,20 Feet,[''],Aana,10.0,20,1
107,Kathmandu,3500000,0,0,South,12 Feet / Paved,[''],Aana,6.1,12,1
109,Kathmandu,2800000,0,0,West,20 Feet / Blacktopped,[''],Aana,18.0,20,1
110,Kathmandu,3500000,0,0,East,30 Feet / Blacktopped,[''],Aana,18.0,30,1
117,Kathmandu,2600000,0,0,East,15 Feet / Blacktopped,[''],Aana,41.0,15,1
118,Kathmandu,3800000,0,0,East,30 Feet / Blacktopped,[''],Ropani,16.0,30,1
